Day,Profit
390,5.984846056
179,6.001760827
420,6.069256438
43,6.069381642
105,6.079375691
92,6.091236344
439,6.096998932
426,6.112304514
175,6.127819185
156,6.134976628
17,6.140455596
209,6.211079261
358,6.245044488
351,6.248009065
195,6.284156635
6,6.284446069
377,6.3142446
242,6.322883337
270,6.36092073
30,6.392133752
453,6.432323264
15,6.458881136
277,6.4756092
106,6.537171642
375,6.555117723
83,6.652001306
285,6.652011865
438,6.673615426
137,6.682221972
183,6.697875841
346,6.714443313
316,6.732728522
318,6.759141761
247,6.768618637
422,6.857898811
225,6.865288631
205,6.868458571
119,6.878990695
139,6.924020348
298,6.924026887
446,6.997249613
31,6.998598684
335,7.020393037
53,7.065969252
74,7.092785532
415,7.121651861
338,7.171015863
149,7.206610186
235,7.226302829
188,7.230777141
354,7.253670632
267,7.273063379
257,7.276845465
264,7.290810625
194,7.406035671
361,7.417276013
48,7.443371945
54,7.496702127
197,7.532302247
147,7.543276082
477,7.600889457
132,7.656286816
342,7.660094456
86,7.667487724
96,7.685289676
362,7.735910463
272,7.768501362
428,7.797961773
217,7.812590944
240,7.829529547
246,7.838672069
355,7.844711096
182,7.855242066
72,7.891707751
250,7.922025757
325,7.924343614
21,7.927877288
498,7.933548604
434,7.946660442
220,7.956535755
352,7.963291716
417,7.987487406
142,7.991159174
44,7.994575268
473,8.007323475
306,8.026492178
90,8.027615863
271,8.030461935
110,8.053974247
215,8.066839442
391,8.09959535
394,8.129024184
288,8.131988526
237,8.132354554
22,8.170082118
135,8.194049288
153,8.229112913
169,8.229495585
7,8.234777351
449,8.254296244
207,8.256128322
232,8.263264853
368,8.274756242
57,8.276091914
80,8.308426006
297,8.351965219
287,8.358789736
273,8.417105372
307,8.423188223
301,8.45400472
224,8.483589838
276,8.497971473
495,8.523800823
38,8.668290273
178,8.678808447
395,8.694400588
244,8.70869041
107,8.7672942
4,8.836547796
218,8.891131242
302,8.892366059
162,8.904153586
8,8.937345391
462,8.963127655
128,8.963184781
374,9.049958922
16,9.098481013
190,9.102204211
309,9.11120168
400,9.138115698
441,9.149745911
155,9.179588103
202,9.229814714
52,9.234788296
413,9.268642246
401,9.294791749
381,9.304351903
304,9.336399049
228,9.369543294
94,9.394048732
79,9.455299329
435,9.460597541
343,9.462481722
427,9.523498177
73,9.540848202
76,9.543359859
408,9.552213259
451,9.558027036
186,9.565796195
419,9.579877782
430,9.648513122
42,9.650698473
160,9.671683029
269,9.791234349
463,9.817422871
20,9.99979304
213,10.00736642
167,10.02536708
171,10.05017482
51,10.05839176
425,10.14740186
293,10.18577302
310,10.26479863
82,10.26896052
234,10.2988038
185,10.30074624
34,10.33479067
27,10.35540041
399,10.37394403
226,10.38151113
366,10.38597299
77,10.45964871
397,10.47497294
326,10.53597239
344,10.57310733
268,10.66202855
69,10.73602779
465,10.74921755
314,10.76947197
274,10.86139842
63,11.16913915
35,11.23852989
26,11.26322111
455,11.32174034
165,11.46860501
129,11.48202075
324,11.58257178
101,11.62627393
464,11.63852506
243,11.74635085
332,11.75263799
396,11.93827196
367,12.05856744
292,12.10591023
383,12.19116969
385,12.24384956
409,12.3924638
10,12.48724223
64,12.681575
266,12.69298242
163,12.76169118
403,12.82181284
201,13.1853322
100,13.33752863
191,13.6403054
482,13.79562322
241,13.914891
28,13.94847622
389,14.02878992
32,14.16467763
365,14.32439917
313,14.86301537
