Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,0.762062,0.766401,0.761350,0.761998,0.761998,0
2021-02-02,0.763330,0.766190,0.756670,0.763460,0.763460,0
2021-02-03,0.760900,0.762700,0.760240,0.760821,0.760821,0
2021-02-04,0.763633,0.764750,0.759000,0.763600,0.763600,0
2021-02-05,0.760092,0.766000,0.758440,0.760300,0.760300,0
2021-02-08,0.767890,0.771516,0.765257,0.767920,0.767920,0
2021-02-09,0.770558,0.773646,0.770470,0.771100,0.771100,0
2021-02-10,0.774100,0.775450,0.771992,0.774050,0.774050,0
2021-02-11,0.772469,0.777300,0.771320,0.772535,0.772535,0
2021-02-12,0.775400,0.776500,0.771930,0.775400,0.775400,0
2021-02-15,0.776392,0.779100,0.776050,0.776410,0.776410,0
2021-02-16,0.778530,0.780700,0.774581,0.778620,0.778620,0
2021-02-17,0.773700,0.776930,0.772520,0.773790,0.773790,0
2021-02-18,0.775900,0.778901,0.773180,0.775870,0.775870,0
2021-02-19,0.776820,0.787700,0.775831,0.776800,0.776800,0
2021-02-22,0.788302,0.792079,0.785700,0.788849,0.788849,0
2021-02-23,0.791470,0.793450,0.788390,0.791540,0.791540,0
2021-02-24,0.790900,0.794603,0.789889,0.790883,0.790883,0
2021-02-25,0.797510,0.800690,0.794849,0.797703,0.797703,0
2021-02-26,0.786560,0.787030,0.771188,0.787000,0.787000,0
