Date,Option Premium Amount,Notional Amount 1,USD_notional,Option Premium Currency,Spot_USDAUD,Strike_USDAUD,Expiration Date,Type,Option Style,Adj_Prem,Maturity,IV,Delta,Gamma,Rho,Theta,Vega,NAB,long,CP Region,CP Type
2021-02-01,1840384.6153846153,50000000.0,39000000.0,AUD,0.761998,0.78,2022-01-04,c,EU,0.04718934911242603,0.9232876712328767,0.18953700714783667,0.48376818428103213,2.8723279496109044,0.002967825490510126,-8.145777669083775e-05,0.002918587662152364,0,1,US,Credit Institutions
2021-02-01,352927.3370823529,50588236.0,43000000.0,AUD,0.761998,0.85,2022-01-04,c,EU,0.008207612490287277,0.9232876712328767,0.11883011554546946,0.18253338115315337,3.0423993283374537,0.0012084216066607434,-3.391970690924244e-05,0.0019381502219400976,0,-1,US,Investment Firms
2021-02-01,38050.261467532466,10389610.0,8000000.0,AUD,0.761998,0.77,2021-02-08,c,EU,0.004756282683441558,0.019178082191780823,0.19242357080043004,0.3522679672180505,18.283967644090065,5.056708018097121e-05,-0.0005379770674960294,0.0003917793597120431,0,1,US,Investment Firms
2021-02-01,6837.606871794871,10256410.0,8000000.0,AUD,0.761998,0.78,2021-02-08,c,EU,0.0008547008589743589,0.019178082191780823,0.14119655941545653,0.11799631834739491,13.267028199424276,1.7079665865855537e-05,-0.00021021028492895238,0.0002085982232442508,0,-1,EEA,Credit Institutions
2021-02-01,206690.87590697675,25249170.0,19000000.0,AUD,0.761998,0.7525,2021-03-01,p,EU,0.010878467152998776,0.07671232876712329,0.1809549620493654,-0.39194595078848793,10.060527479249913,-0.0002374557243105178,-0.00026262094282836413,0.0008108939832764524,0,1,Australia,Non-financial firms
2021-02-01,94888.5975,10484928.0,8000000.0,USD,0.761998,0.763,2021-03-01,p,EU,0.0118610746875,0.07671232876712329,0.13450432098808193,-0.5072160782777327,14.051295310352803,-0.0003055902447474883,-0.000202960477062483,0.0008418319945451938,0,1,US,Non-financial firms
2021-02-01,90694.62634,10484928.0,8000000.0,USD,0.761998,0.763,2021-03-01,c,EU,0.0113368282925,0.07671232876712329,0.1406660686200951,0.4937658233453033,13.436348830645603,0.00027993229489915847,-0.00021076822521717898,0.0008418669299296935,0,-1,Australia,Credit Institutions
2021-02-01,1059.0,197161.0,150000.0,USD,0.761998,0.7608,2021-02-22,p,EU,0.00706,0.057534246575342465,0.10471564314923608,-0.4706651785049385,20.787642750668024,-0.00021040614845201447,-0.0001820077711888486,0.0007271950302874985,0,-1,EEA,Investment Firms
2021-02-01,3215.91466,506667.0,380000.0,USD,0.761998,0.75,2021-03-25,p,EU,0.008462933315789473,0.14246575342465753,0.11948496276949097,-0.354854995851581,10.831742957854043,-0.0003972824652910829,-0.000123536089698931,0.001070606165583071,0,1,Others,Non-financial firms
2021-02-01,5849.99998,1328021.0,1000000.0,USD,0.761998,0.753,2021-03-01,p,EU,0.005849999979999999,0.07671232876712329,0.11561042301394306,-0.3500061464576849,15.180608575705893,-0.00020908250794293048,-0.00016190948963242912,0.000781734002237328,0,-1,EEA,Investment Firms
2021-02-01,25160.94984,2638522.0,2000000.0,USD,0.761998,0.758,2021-03-31,p,EU,0.012580474920000001,0.1589041095890411,0.11958790317502314,-0.44755023965347285,10.887452200696941,-0.0005619053704453996,-0.00012452518317368507,0.0012013133531791548,0,-1,Australia,Non-financial firms
2021-02-01,18077.12074,2570694.0,2000000.0,USD,0.761998,0.778,2021-03-31,c,EU,0.009038560369999999,0.1589041095890411,0.12901287959720065,0.3517654917277383,9.46906993823052,0.0004115712429080022,-0.00012486306865263372,0.0011271538146512441,0,1,US,Non-financial firms
2021-02-01,5498.96791780822,602740.0,440000.0,AUD,0.761998,0.73,2021-05-03,p,EU,0.012497654358655045,0.2493150684931507,0.170345058404831,-0.29293044613912034,5.30629287927374,-0.0005876607186157615,-0.00012292356414781057,0.0013085097027776874,0,1,US,Investment Firms
